ID,Artist,Track,Popularity,Acousticness,Danceablility,Energy,Key,Mode,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Time Signature
1jg9clsGCDqOumfS0X5xm9,Camila Cabello,Living Proof,80,0.109,0.735,0.514,7,1,0.0,0.359,-5.464,0.082,0.517,77.566,4
7jzldCBnJjpJM3epzJ85KE,Marshmello,Tongue Tied (with YUNGBLUD & blackbear),79,0.0208,0.628,0.821,1,0,0.0,0.426,-2.721,0.0525,0.465,93.001,4
6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,BOP,89,0.189,0.769,0.787,11,1,0.0,0.129,-3.909,0.367,0.836,126.77,4
1VJwtWR6z7SpZRwipI12be,Doja Cat,Candy,85,0.513,0.689,0.516,8,1,0.0,0.163,-5.857,0.0444,0.209,124.876,4
6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,How Do You Sleep?,95,0.153,0.477,0.682,1,0,0.0,0.0763,-4.931,0.0925,0.345,110.567,5
7CHi4DtfK4heMlQaudCuHK,MEDUZA,Lose Control,91,0.129,0.598,0.526,10,0,0.0,0.14,-8.659,0.0415,0.529,123.935,4
2QpGZOhTCHHiKmpSO9FW4h,Kanye West,Follow God,93,0.000248,0.529,0.9,1,1,1.21e-05,0.0426,-3.503,0.418,0.434,180.291,4
07s9NNOT0sZQp7TyolLLgu,Stormzy,Own It (feat. Ed Sheeran & Burna Boy),44,0.00838,0.817,0.781,7,0,5.21e-06,0.123,-4.178,0.112,0.359,104.0,4
2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,96,0.328,0.701,0.425,7,1,0.13,0.1,-10.965,0.375,0.562,135.128,4
5a6pdCHlWS2ekOOQ70QnAr,Noah Cyrus,July,86,0.868,0.708,0.186,9,0,0.0,0.0779,-8.953,0.0422,0.321,72.541,4
7k4t7uLgtOxPwTpFmtJNTY,KAROL G,Tusa,87,0.295,0.803,0.715,2,1,0.000134,0.0574,-3.28,0.298,0.574,101.085,4
7pWK1kMgHy5lNNiIfuRbkP,Martin Garrix,Used To Love (with Dean Lewis),86,0.458,0.651,0.693,4,1,0.0,0.335,-4.722,0.0375,0.392,118.97,4
7CZyCXKG6d5ALeq41sLzbw,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),92,0.0906,0.499,0.8,1,0,0.0,0.147,-2.665,0.0502,0.272,139.919,4
2kJwzbxV2ppxnQoYw4GLBZ,JP Saxe,If The World Was Ending (feat. Julia Michaels),84,0.866,0.464,0.473,1,1,0.0,0.109,-10.086,0.129,0.604,75.801,4
2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,"10,000 Hours (with Justin Bieber)",95,0.153,0.654,0.63,10,1,0.0,0.111,-4.644,0.0259,0.43,89.991,4
4evmHXcjt3bTUHD1cvny97,Ed Sheeran,Beautiful People (feat. Khalid),93,0.124,0.64,0.648,5,0,0.0,0.0802,-8.113,0.187,0.548,92.977,4
314ZkcV7oLWG8yWE7LABvH,BTS,Make It Right (feat. Lauv),89,0.0304,0.584,0.685,7,1,0.0,0.189,-7.811,0.425,0.345,97.551,4
6RyaV7owmVU6fzEPE17sF1,Daddy Yankee,Que Tire Pa Lante,91,0.0478,0.658,0.901,7,1,0.0,0.12,-2.814,0.0357,0.708,93.979,4
56AMYGJzxBO6p8v0wEe9de,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],89,0.188,0.845,0.631,7,0,0.0,0.0806,-8.206,0.216,0.545,111.983,4
6muOWhMh7Tf0UFUtMDBhUR,Coldplay,Orphans,85,0.0258,0.503,0.808,11,0,0.00149,0.557,-5.051,0.0451,0.282,107.973,4
1JRK7srBWUtAW7dPabKBwJ,5 Seconds of Summer,Teeth,87,0.0508,0.755,0.448,3,0,3.87e-06,0.11,-2.993,0.0405,0.431,139.028,4
66FltlEV09mPJYAyfYm8De,YNW Melly,Bang Bang,0,0.156,0.657,0.522,10,1,0.0,0.0811,-7.632,0.397,0.442,179.687,4
598yNsG1JFrGd4n2kMoz7F,Lil Baby,Woah,84,0.0177,0.882,0.602,11,1,0.0,0.178,-5.554,0.245,0.43,142.959,4
7tgjDlQsMR8RvkdlNCJA58,Trippie Redd,6 Kiss,36,0.109,0.687,0.449,2,1,0.0,0.282,-10.061,0.154,0.229,142.048,4
6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,Bandit (with YoungBoy Never Broke Again),94,0.0687,0.474,0.631,5,0,0.0,0.132,-5.884,0.343,0.425,180.051,4
0fySG6A6qLE8IvDpayb5bM,DaBaby,VIBEZ,88,0.113,0.768,0.652,1,0,0.0,0.107,-2.708,0.307,0.777,154.187,4
364spZLB5bhNlnPrzvUB41,A Boogie Wit da Hoodie,Reply (feat. Lil Uzi Vert),80,0.0187,0.512,0.623,9,0,0.0,0.13,-6.553,0.0808,0.219,112.15,5
5ravc2aiNoYmu9m37diYXW,Roddy Ricch,Start Wit Me (feat. Gunna),83,0.077,0.886,0.479,4,0,0.0,0.135,-8.054,0.334,0.408,130.029,4
0jBJIQuToUUOEx7JJkiPzm,Flipp Dinero,How I Move (feat. Lil Baby),69,0.102,0.826,0.635,5,0,0.0,0.245,-5.181,0.212,0.808,119.954,4
40QmDP485PDepnUOGJlbUP,YNW Melly,I Ain't Lying,0,0.0404,0.782,0.415,0,1,0.0,0.227,-10.028,0.277,0.762,150.156,4
5hDAT527wXWNBnJlujhuUs,Lil Mosey,Stuck In A Dream (feat. Gunna),85,0.444,0.753,0.652,10,0,0.0,0.117,-5.943,0.0753,0.745,139.962,4
0c7K73roy6RW4ebDkf4yGh,24kGoldn,VALENTINO,88,0.197,0.744,0.718,9,0,0.0,0.134,-4.853,0.181,0.549,151.098,4
4IO8X9W69dIQe0EC5ALXhq,21 Savage,Immortal,85,0.00813,0.741,0.87,6,0,0.0,0.114,-3.494,0.503,0.663,184.194,4
6klLvorLoo1sxvZcjJIY8I,YoungBoy Never Broke Again,Make No Sense,86,0.0208,0.876,0.733,10,0,0.0,0.0999,-4.478,0.333,0.962,154.904,4
4sWuPniHClkInYAnzXAYUF,NLE Choppa,Camelot,90,0.0849,0.787,0.713,7,1,0.0,0.717,-5.252,0.401,0.761,175.046,4
5r7WvQtyPfy1xch5zMgGRp,Drake,Behind Barz - Bonus,84,0.769,0.854,0.554,8,1,1.84e-06,0.0749,-4.684,0.172,0.272,142.069,4
0UPBidRYcgJ2mjZlk08V8x,Lil Tjay,F.N,82,0.323,0.562,0.502,6,0,0.0,0.0757,-10.269,0.255,0.322,120.104,1
3QzAOrNlsabgbMwlZt7TAY,Mustard,Ballin' (with Roddy Ricch),87,0.392,0.809,0.545,7,1,0.0,0.151,-6.678,0.0735,0.244,97.008,4
5FkoSXiJPKTNyYgALRJFhD,Baby Keem,ORANGE SODA,78,0.177,0.83,0.564,1,1,0.0,0.128,-7.822,0.235,0.107,85.042,4
735RSTb2xbtWbDtKD9XDYi,Internet Money,Somebody,85,0.363,0.63,0.671,6,0,0.0,0.113,-6.659,0.256,0.333,89.921,4
1GeNui6m825V8jP4uKiIaH,Young Thug,Bad Bad Bad (feat. Lil Baby),86,0.0976,0.974,0.596,6,1,0.0,0.151,-8.888,0.184,0.892,111.959,4
09TZsMHXEtQkdmMJZPLKup,Stunna 4 Vegas,Up The Smoke (with Offset),72,0.0512,0.907,0.765,4,1,0.0,0.153,-7.043,0.426,0.896,142.992,4
1CCDIow4pPYyJYzhtTUYz2,DaBaby,RAW SHIT (feat. Migos),81,0.0273,0.874,0.714,5,1,0.0,0.356,-4.946,0.233,0.85,130.046,4
6YfTl5YupXOQBKiJJLrxcw,Trippie Redd,Death (feat. DaBaby),78,0.0579,0.802,0.82,10,0,0.0,0.149,-5.969,0.146,0.613,164.005,4
7qvsl2pYzrsYgPeFBN5jxp,Doja Cat,Juicy,83,0.0856,0.786,0.658,0,1,0.0,0.0689,-2.61,0.0661,0.458,170.037,4
5MVdzbNmCVf9cWbkqFakkr,Roddy Ricch,Big Stepper,80,0.0477,0.753,0.597,8,1,0.0,0.197,-8.469,0.292,0.616,76.997,4
00ko9WaS4jOX1kEk3gvHjf,Chance the Rapper,Hot Shower,86,0.00157,0.899,0.509,9,1,0.0,0.0573,-8.04,0.387,0.599,150.001,4
2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,Mood Swings,81,0.211,0.941,0.676,4,0,4.64e-06,0.0986,-5.54,0.0936,0.93,120.073,4
34e2WyzmjG2aDk7KykOOZZ,Pardison Fontaine,Take It Down (feat. Offset),48,0.0393,0.917,0.494,1,1,0.0,0.194,-5.772,0.085,0.341,143.048,4
2Xo3rLHjXfdb4avN68aQyi,Russ,BEST ON EARTH (feat. BIA),83,0.217,0.568,0.764,5,0,0.0,0.0931,-3.465,0.255,0.625,179.985,4
050ud0e5cmIYjmXplDugVQ,Kash Doll,Ready Set (feat. Big Sean),72,0.00252,0.849,0.62,4,0,0.000283,0.113,-5.921,0.0589,0.481,96.005,4
6kyT7ubem08Egg9a8f77OL,YoungBoy Never Broke Again,Self Control,66,0.0349,0.82,0.697,6,0,0.0,0.197,-7.296,0.378,0.629,154.992,4
6fWa5CRgy0z30OeGZyMBvD,Rod Wave,Heart On Ice,75,0.0513,0.733,0.389,10,0,0.0,0.141,-8.468,0.0738,0.244,157.878,3
0hGH0S74Eoyv6mXZcOKtdQ,Post Malone,On The Road (feat. Meek Mill & Lil Baby),66,0.0589,0.442,0.737,7,1,0.0,0.102,-5.046,0.109,0.21,112.93,5
4E08gEca6avoGx5SS4MM6T,Lil Mosey,G Walk (with Chris Brown),74,0.275,0.744,0.709,0,1,0.0,0.126,-5.359,0.101,0.72,89.969,4
03i4lR6ZZo0214WhmrE8t9,Lil Tjay,Hold On,73,0.142,0.686,0.609,9,0,0.0,0.0631,-6.784,0.165,0.737,152.05,4
7cyeGclH71MayOuQ7qtLFl,Young M.A,BIG,78,0.0408,0.86,0.507,0,0,6.15e-06,0.14,-5.776,0.369,0.15,85.005,4
6UFEJuDXQMWhL5UH5f9fUR,Post Malone,Enemies (feat. DaBaby),68,0.0588,0.542,0.674,6,1,0.0,0.0955,-4.169,0.21,0.667,76.388,4
6VYXuUz1nYMap8gtqeIrQB,Tyla Yaweh,I Think I Luv Her,78,0.000456,0.902,0.608,11,1,0.0,0.0621,-6.238,0.27,0.836,84.001,4
5FDCDBFDKpf7TLzDx6r2Lp,Gucci Mane,Big Boy Diamonds (feat. Kodak Black & London On Da Track),77,0.0307,0.883,0.635,0,0,0.0,0.114,-6.284,0.299,0.542,129.042,4
4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,Panini - DaBaby Remix,85,0.22,0.717,0.598,5,0,0.0,0.122,-5.613,0.0809,0.496,153.905,4
2NSWi83peog6gHerzlMCqU,Trippie Redd,Love Me More,80,0.22,0.638,0.539,10,1,0.0,0.241,-5.853,0.0504,0.247,83.381,4
3fx31TjnwvwZIyAGHhOhA1,NLE Choppa,Forever,77,0.382,0.602,0.726,5,0,0.0,0.0691,-4.856,0.129,0.555,90.107,4
1wTH87zcNcR4vn1iJLDv0c,Future,Last Name (feat. Lil Durk),71,0.17,0.671,0.568,0,1,0.0,0.139,-6.48,0.421,0.336,113.296,5
4HPTladgOGcGzleMR3I0FK,Ski Mask The Slump God,Carbonated Water,77,0.0546,0.938,0.559,10,1,0.0,0.157,-6.734,0.312,0.76,119.901,4
0mTKJnVf6GcujyDr1PZn0Q,Tory Lanez,Jerry Sprunger (with T-Pain),78,0.144,0.694,0.744,0,0,0.0,0.0905,-5.334,0.297,0.425,99.941,4
7kex0hl1dCvv6UqqZKGi1t,Lil Baby,"Catch The Sun - From ""Queen & Slim: The Soundtrack""",69,0.183,0.531,0.607,1,1,0.0,0.11,-7.339,0.11,0.103,82.586,4
5dS2dvXVPe7AR6UwBpnomW,David Guetta,Make It To Heaven (with Raye),38,0.0936,0.587,0.92,0,0,0.073,0.185,-4.697,0.0914,0.35,126.035,4
4QAUGy6k7c3IOAhgWz52r7,Avicii,Heaven - David Guetta & MORTEN Remix,72,0.00292,0.572,0.934,6,0,0.0198,0.105,-5.053,0.0446,0.204,125.948,4
35MKhw2YBKApmD7fAnPERC,Galantis,Faith (with Dolly Parton) [feat. Mr. Probz],78,0.145,0.547,0.795,8,1,0.0,0.11,-3.721,0.0489,0.723,118.118,4
6m8SIT10j41SPpPFOknTmP,ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],68,0.00522,0.562,0.811,2,1,0.0,0.11,-2.92,0.0524,0.493,129.971,4
7x4CLIbKdDm2XrD1df1DGI,Various Artists,mmmminty,0,0.0649,0.455,0.944,6,1,0.0,0.637,-4.925,0.141,0.783,128.018,3
7JHdotEeGSIbtFuo4dVvsC,Alesso,In The Middle,71,0.00504,0.751,0.92,9,0,0.00302,0.127,-5.618,0.0964,0.633,122.991,4
5OjDZNHerI7RrIHFJajOMD,Breathe Carolina,Too Good,59,0.0961,0.762,0.784,10,0,0.000129,0.122,-5.415,0.0483,0.399,121.966,4
2O5nUHrtyIAmUyzRUaRHO5,Nicky Romero,Love You Forever - Metrush Remix,57,0.044,0.614,0.805,11,1,1.85e-06,0.362,-5.162,0.0504,0.395,125.906,4
6xfT4ubp1ETiqfDtUbdYHI,SNO,Light Me Up,44,0.0148,0.627,0.822,2,0,0.0,0.141,-3.491,0.175,0.24,126.014,4
3GT2CBmJWIEdCpHiB31WYK,David Guetta,Never Be Alone (feat. Aloe Blacc),72,0.0202,0.535,0.906,6,0,0.000715,0.0886,-4.699,0.0353,0.732,126.012,4
1ysP0xeOMwpdaPvYbZtBN5,GATTÜSO,When In Rome,64,0.0444,0.706,0.886,11,1,3.51e-05,0.269,-4.945,0.0447,0.554,119.992,4
3DVc4VCjFaBAZF9OFquQqV,The Chainsmokers,Takeaway - Sondr Remix,46,0.0592,0.683,0.899,10,0,1.13e-06,0.177,-4.863,0.112,0.373,120.974,4
6qLkMLUIkdtX34gHF9sPFL,M-22,After Hours,70,0.0225,0.748,0.84,11,0,5.41e-06,0.139,-4.537,0.054,0.68,123.974,4
59jHH3RyODRyVPCgpM106o,DallasK,I Know,61,0.0009,0.6,0.873,10,0,0.00102,0.156,-4.773,0.0795,0.295,122.045,4
29MOOOmMRPeWyPwKQFoF5t,Sam Smith,I Feel Love,79,0.00645,0.719,0.708,0,1,0.201,0.064,-7.418,0.0417,0.256,126.015,4
6aDKThz79NRnJsk4YOs0wG,Black Caviar,Kubrick Faked The Moon Landing,6,0.00676,0.9,0.878,0,1,0.781,0.353,-3.781,0.14,0.457,125.002,4
4QUA94c3ycZm8dnpPih4sf,MK,One Night (feat. Raphaella),65,0.0015,0.486,0.896,11,0,0.0443,0.217,-6.189,0.0346,0.195,123.967,4
3M9Apu4OZfylLTFKvgEtKa,Tiësto,Ritual,85,0.157,0.647,0.726,3,0,0.0,0.0844,-4.389,0.0552,0.767,114.996,4
0IhTEIjFaRt3B2NQYf9azQ,David Guetta,Thing For You (With Martin Solveig),72,0.0395,0.774,0.723,2,1,1.82e-05,0.1,-5.545,0.0496,0.769,121.057,4
1yVL5vY2afS32mmynf33o6,Various Artists,today's best dance,0,0.187,0.0,0.6,8,1,0.0,0.506,-4.146,0.0,0.0,0.0,0
5RLeVOsssApcHc6NMbz2BY,Idris Elba,On Life - Jack Back Remix,43,0.0207,0.61,0.777,9,1,0.796,0.0995,-10.559,0.055,0.263,122.995,3
4Qv71lFPCObf7zol1uWCJb,Gorgon City,There For You,73,0.00529,0.533,0.844,11,0,8.91e-05,0.0722,-5.04,0.0302,0.712,123.971,4
2V4v17hRk3bmybHvf3i56Q,Breathe Carolina,Drive,57,0.28,0.74,0.758,1,0,0.000141,0.0881,-6.616,0.0323,0.336,119.98,4
6H4Z4Sl0QYihizCTPzhEZm,SACHI,Sparking My Fire (feat. ROE),47,0.153,0.624,0.758,8,1,1.61e-05,0.104,-6.039,0.0413,0.413,122.019,4
4UjxYMM2290d7KlCKVSOuQ,ANNA,Forever Ravers - Radio Edit,56,0.00629,0.507,0.92,6,0,0.627,0.668,-8.151,0.0561,0.225,129.013,4
10mj6Sfw7Z92r9QTrloAth,Loud Luxury,I'm Not Alright - EDX's Dubai Skyline Remix,41,0.0382,0.769,0.879,1,0,1.78e-05,0.0848,-4.336,0.0704,0.521,124.032,4
4cWafPsRizm6woL5j4HNTD,Jack Back,(It Happens) Sometimes,66,0.000431,0.833,0.886,11,1,0.00451,0.11,-6.767,0.0573,0.604,122.025,4
5tuOGRYPjh5lV6M5zbNRNH,Max Styler,Let Me Take You There (feat. Laura White),65,0.0589,0.596,0.907,6,1,3.08e-06,0.295,-5.447,0.0477,0.263,123.987,4
7Ga9ZSdPAcQXQvd1ObVFpm,Galantis,Holy Water,70,0.0653,0.587,0.734,9,1,0.000571,0.398,-4.558,0.0407,0.401,125.848,4
3NAGKEkJN7cUTaIYqFnF8l,Adventure Club,Crash 2.0,60,0.00259,0.66,0.652,8,1,0.0,0.0673,-4.747,0.0582,0.167,127.977,4
6hciDCyJDYCsYQp2lH6kdA,Gryffin,Need Your Love (with Noah Kahan),69,0.16,0.582,0.757,0,1,0.0,0.187,-3.965,0.0399,0.516,104.105,4
6fenHIxXuuzKB55wY4WCHP,Tiësto,God Is A Dancer (with Mabel),84,0.0241,0.774,0.747,1,0,6.11e-06,0.342,-3.908,0.082,0.833,119.964,4
4OwKZypvOJY94XUTHCG1DY,Sultan + Shepard,We Found Love,54,0.0111,0.353,0.917,11,0,0.719,0.331,-4.926,0.0456,0.447,125.935,4
3i9OBte7psyvqH1LYiZMoH,Various Artists,dance condition,7,0.152,0.88,0.905,4,1,0.00122,0.36,-4.93,0.302,0.0708,123.835,5
2ucDRjABZbAeuPdSpxqGTn,VAVO,Like Nobody,59,0.111,0.698,0.803,11,0,0.00016,0.318,-5.749,0.189,0.746,123.027,4
3xmJo7JydhDml7GAS9YTcN,Knife Party,Death & Desire (feat. Harrison),62,0.0011,0.617,0.964,7,0,0.491,0.186,-3.396,0.04,0.38,125.001,4
6b1RNvAcJjQH73eZO4BLAB,Sam Feldt,Post Malone (feat. RANI) - GATTÜSO Remix,70,0.0335,0.542,0.903,4,0,4.83e-06,0.111,-2.419,0.0434,0.367,127.936,4
1CshSPWFrIZTXrAXHMc4jG,David Guetta,Stay (Don't Go Away) [feat. Raye] - David Guetta & R3HAB Remix,58,0.039,0.594,0.883,9,0,9.14e-06,0.0902,-4.91,0.0845,0.188,127.092,4
3Hah1es0TvdRG7HWNx5e3E,Halsey,Graveyard - Axwell Remix,66,0.0139,0.435,0.903,10,0,0.26,0.377,-5.469,0.0535,0.36,118.971,4
0qaWEvPkts34WF68r8Dzx9,Riton,Turn Me On (feat. Vula),85,0.0149,0.737,0.828,11,1,0.000588,0.0862,-4.711,0.0396,0.517,124.051,4
3Z72gCQwlmsY7sKrqQSOl3,Throttle,Dreamer,52,0.167,0.621,0.67,11,1,0.907,0.339,-4.625,0.0303,0.342,125.057,4
1f1Lwfg4cZfv0HcaBbYY1i,LODATO,Home,57,0.0363,0.554,0.936,8,1,1.46e-06,0.0839,-3.619,0.115,0.529,125.018,4
4KrATQEoEbKAAY7j0kMDBl,Dom Dolla,San Frandisco,62,0.0446,0.78,0.938,9,0,0.0977,0.091,-6.269,0.0491,0.502,125.031,4
0W3XXRdUeLUEYul1NMCnTo,Morgan Page,Fire & Gold,59,0.0544,0.607,0.895,7,1,0.0,0.652,-3.687,0.0863,0.352,126.13,4
5v98VA4TXznJNrw0XRphIb,Calvin Harris,I'm Not Alone - 2019 Edit,66,0.00349,0.6,0.982,11,1,0.48,0.124,-3.921,0.0337,0.212,127.994,4
1dDDVfAfms7M6VLLKmubaJ,Above & Beyond,See The End,64,0.0141,0.497,0.656,7,1,0.0,0.0577,-6.716,0.0374,0.0884,127.975,4
1oxYhEMbizWCKeYJwHzupl,Jack Wins,Familiar Strangers (feat. Rothwell),61,0.00202,0.564,0.952,1,0,7.28e-05,0.111,-3.725,0.0643,0.365,126.017,4
6TnxdnJcZIwCWiCHq5Qds0,Sigala,Wish You Well (with Sigala),7,0.122,0.67,0.89,5,0,0.0,0.333,-3.785,0.0576,0.568,124.967,4
6oJ6le65B3SEqPwMRNXWjY,Kygo,Higher Love,91,0.0151,0.693,0.678,8,1,5.71e-06,0.101,-7.159,0.0324,0.404,103.952,4
4gM5qxcWJSWaqsRmqJWhKn,Galantis,We Can Get High - GATTÜSO Remix,54,0.0142,0.615,0.902,4,0,0.276,0.149,-5.943,0.0396,0.327,125.991,4
1tq4UL9BB7BHuT6eorlX3X,Deorro,All This Time,41,0.167,0.66,0.857,2,1,1.36e-05,0.119,-5.219,0.321,0.233,130.069,4
2aFAmDBycyEnj3lcS95JMe,Kaskade,With You - LöKii Remix,55,0.0201,0.708,0.727,9,1,0.676,0.37,-7.647,0.0389,0.512,120.012,4
7thOGpKaWpPotq2U37UItx,Matisse & Sadko,Fade Away,61,0.0214,0.627,0.778,5,1,0.0,0.126,-4.317,0.0409,0.366,127.977,4
3K4ywyPCdpF9evoL7Z3z1b,KREAM,Deep End (feat. JHart) - Eden Prince Remix,62,0.0154,0.677,0.848,7,0,0.00111,0.277,-6.14,0.0741,0.469,125.068,4
6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,Sorry,81,0.0547,0.744,0.79,8,0,0.000802,0.32,-4.617,0.0562,0.847,125.002,4
08nWZuJKHmZGcSe6WpwxXx,Hayden James,Nowhere to Go - Dom Dolla Remix,54,0.146,0.689,0.857,0,1,0.356,0.153,-8.659,0.05,0.338,124.002,4
4nx4h17pRj1ikT0hZecR8z,Phantoms,Say It,59,0.0209,0.745,0.8,11,0,0.000479,0.113,-5.606,0.0361,0.314,122.008,4
1SG6r7daFfpzPcU15luVqB,Don Diablo,Never Change,73,0.00377,0.553,0.954,7,1,0.0429,0.408,-2.883,0.0575,0.236,125.89,4
517cAnPxsaxfrkKHHY41wB,Audien,Buzzing (with Nevve),58,0.128,0.639,0.591,7,0,6.69e-06,0.159,-3.905,0.0344,0.305,128.002,4
3R57ncBBnLa5ZdLRGRCKIi,VAVO,Anything For You - Feenixpawl Remix,58,0.0997,0.648,0.778,8,1,0.0,0.127,-5.592,0.0671,0.59,123.99,4
4TIkSdsNSfqpuq6ZYvCjAz,Gryffin,All You Need To Know (feat. Calle Lehmann),68,0.00699,0.53,0.729,0,1,0.0,0.103,-6.019,0.0376,0.219,139.929,4
1CW7tYkpJ95c7bQkRf6CcK,Jonas Blue,I Wanna Dance,71,0.0906,0.825,0.841,0,1,0.00411,0.258,-6.433,0.135,0.616,126.026,4
